日期,AQI,质量等级,PM2.5含量/ppm,PM10含量/ppm,SO2含量/ppm,CO含量/ppm,NO2含量/ppm,O3含量/ppm
2023-01-01,79,良,58,64,8,0.7,57,23
2023-01-02,112,轻度污染,84,73,10,1.0,71,7
2023-01-03,68,良,49,51,7,0.8,49,3
2023-01-04,90,良,67,57,7,1.2,53,18
2023-01-05,110,轻度污染,83,65,7,1.0,51,46
2023-01-06,65,良,47,58,6,1.0,43,6
2023-01-07,50,优,18,19,5,1.5,40,43
2023-01-08,69,良,50,49,7,0.9,39,45
2023-01-09,69,良,50,40,6,0.9,47,33
2023-01-10,57,良,34,28,5,0.8,45,21
2023-01-11,47,优,27,21,6,0.7,37,39
2023-01-12,125,轻度污染,95,74,8,1.0,44,71
2023-01-13,148,轻度污染,113,94,9,1.3,59,53
2023-01-14,172,中度污染,130,114,12,1.4,62,65
2023-01-15,113,轻度污染,85,62,8,1.2,50,32
2023-01-16,55,良,16,14,5,0.8,44,38
2023-01-17,82,良,60,43,6,0.9,42,25
2023-01-18,88,良,65,55,6,0.8,51,31
2023-01-19,112,轻度污染,84,77,10,1.0,53,77
2023-01-20,127,轻度污染,96,99,14,1.2,70,90
2023-01-21,203,重度污染,153,113,9,1.3,43,60
2023-01-22,148,轻度污染,113,77,6,1.2,43,30
2023-01-23,58,良,41,37,5,0.6,26,42
2023-01-24,79,良,58,57,6,0.7,18,78
2023-01-25,40,优,26,40,5,0.5,17,61
2023-01-26,29,优,20,17,5,0.5,21,56
2023-01-27,70,良,51,41,5,0.8,21,57
2023-01-28,95,良,71,65,6,0.7,19,70
2023-01-29,84,良,62,60,10,0.7,25,77
2023-01-30,128,轻度污染,97,85,9,1.0,26,103
2023-01-31,125,轻度污染,95,82,10,1.0,43,94
2023-02-01,75,良,55,49,7,0.7,21,102
2023-02-02,42,优,28,30,8,0.5,26,84
2023-02-03,109,轻度污染,82,68,9,0.9,30,109
2023-02-04,92,良,68,60,7,0.8,22,103
2023-02-05,65,良,47,44,7,0.8,19,106
2023-02-06,38,优,22,25,5,0.6,11,75
2023-02-07,33,优,14,16,5,0.6,12,66
2023-02-08,62,良,44,40,5,0.6,22,45
2023-02-09,53,良,37,34,7,0.6,25,79
2023-02-10,48,优,33,36,8,0.7,32,69
2023-02-11,35,优,24,26,6,0.7,20,47
2023-02-12,43,优,30,34,5,0.9,23,56
2023-02-13,22,优,15,18,5,0.8,15,30
2023-02-14,23,优,14,17,5,0.8,18,32
2023-02-15,27,优,8,10,5,0.7,14,53
2023-02-16,42,优,21,31,7,0.5,11,83
2023-02-17,45,优,19,33,9,0.5,18,90
2023-02-18,49,优,27,32,8,0.6,28,97
2023-02-19,55,良,39,37,7,0.6,25,76
2023-02-20,64,良,46,43,8,0.7,25,111
2023-02-21,62,良,44,41,9,0.6,31,66
2023-02-22,83,良,61,89,10,0.9,42,94
2023-02-23,92,良,68,107,7,0.8,25,109
2023-02-24,85,良,63,87,8,1.0,44,84
2023-02-25,95,良,71,79,6,1.2,44,42
2023-02-26,50,优,35,43,4,0.7,19,87
2023-02-27,70,良,51,68,4,0.8,19,93
2023-02-28,38,优,26,25,4,0.7,28,59
2023-02-28,40,优,28,21,4,0.8,29,41
2023-03-01,50,优,35,29,5,0.7,27,58
2023-03-02,54,良,38,37,5,0.8,22,87
2023-03-03,72,良,52,49,8,1.0,44,64
2023-03-04,85,良,63,58,6,0.9,33,104
2023-03-05,56,良,31,41,8,0.7,24,107
2023-03-06,64,良,46,43,7,0.6,35,84
2023-03-07,67,良,48,53,6,0.9,43,75
2023-03-08,68,良,49,52,7,0.8,29,105
2023-03-09,37,优,19,25,5,0.7,29,47
2023-03-10,62,良,44,38,5,1.0,32,74
2023-03-11,67,良,48,68,7,1.0,39,113
2023-03-12,68,良,49,68,7,0.8,44,95
2023-03-13,67,良,48,70,7,0.9,45,46
2023-03-14,52,良,24,53,7,0.5,40,96
2023-03-15,77,良,38,86,12,0.8,61,109
2023-03-16,70,良,51,80,10,0.7,47,108
2023-03-17,74,良,43,77,10,0.7,59,122
2023-03-18,70,良,46,79,16,1.1,56,123
2023-03-19,77,良,35,104,14,0.9,47,78
2023-03-20,68,良,37,86,12,0.7,53,112
2023-03-21,67,良,42,67,10,0.9,53,87
2023-03-22,55,良,31,60,6,0.8,33,102
2023-03-23,42,优,19,41,8,0.5,33,83
2023-03-24,65,良,26,43,9,0.5,33,118
2023-03-25,63,良,30,48,9,0.8,50,66
2023-03-26,57,良,27,35,6,0.9,45,24
2023-03-27,34,优,12,27,6,0.6,27,62
2023-03-28,39,优,11,24,5,0.4,20,78
2023-03-29,35,优,22,27,6,0.7,28,57
2023-03-30,38,优,26,24,5,0.7,29,60
2023-03-31,48,优,28,34,5,0.7,38,40
2023-04-01,45,优,23,28,5,0.7,36,90
2023-04-02,54,良,30,57,7,0.7,39,101
2023-04-03,67,良,45,63,8,0.8,53,109
2023-04-04,93,良,60,87,11,1.1,74,125
2023-04-05,56,良,20,61,7,0.6,27,94
2023-04-06,65,良,31,50,8,0.6,36,117
2023-04-07,55,良,30,50,9,0.6,43,105
2023-04-08,62,良,29,55,9,0.5,45,114
2023-04-09,85,良,42,68,10,0.6,43,142
2023-04-10,70,良,43,65,8,0.7,32,124
2023-04-11,37,优,23,25,5,0.7,27,73
2023-04-12,70,良,31,52,7,0.6,26,123
2023-04-13,85,良,39,69,9,0.6,54,141
2023-04-14,81,良,42,64,10,0.7,49,137
2023-04-15,75,良,30,64,19,1.1,60,116
2023-04-16,75,良,33,71,12,0.8,60,111
2023-04-17,79,良,53,94,17,0.9,63,75
2023-04-18,66,良,47,82,9,0.8,41,112
2023-04-19,51,良,19,24,5,0.6,31,101
2023-04-20,65,良,25,37,9,0.8,52,110
2023-04-21,45,优,23,40,7,0.5,34,89
2023-04-22,63,良,29,45,7,0.4,41,115
2023-04-23,70,良,40,68,8,0.5,54,124
2023-04-24,85,良,30,69,15,0.7,68,130
2023-04-25,73,良,26,70,22,1.0,58,120
2023-04-26,77,良,36,76,14,0.8,47,132
2023-04-27,51,良,25,49,7,0.6,28,101
2023-04-28,81,良,25,45,7,0.5,34,137
2023-04-29,112,轻度污染,34,69,11,0.6,43,173
2023-04-30,90,良,43,80,12,0.8,55,148
2023-05-01,54,良,38,53,8,0.9,34,88
2023-05-02,80,良,39,60,13,1.2,35,136
2023-05-03,90,良,44,72,22,1.5,52,147
2023-05-04,132,轻度污染,43,69,18,1.4,40,195
2023-05-05,49,优,34,49,6,1.0,36,46
2023-05-06,45,优,29,44,5,0.8,29,89
2023-05-07,72,良,28,50,6,0.7,24,126
2023-05-08,40,优,24,40,6,0.8,26,44
2023-05-09,36,优,25,27,5,0.6,21,72
2023-05-10,55,良,27,32,6,0.9,43,105
2023-05-11,87,良,23,55,8,0.8,44,144
2023-05-12,77,良,15,61,12,0.6,46,132
2023-05-13,133,轻度污染,31,79,10,0.6,37,196
2023-05-14,58,良,35,52,7,0.8,29,109
2023-05-15,44,优,18,26,8,0.9,33,87
2023-05-16,52,良,22,35,11,1.0,41,100
2023-05-17,83,良,24,45,14,1.2,36,139
2023-05-18,60,良,19,64,8,0.7,30,112
2023-05-19,92,良,29,70,15,0.9,52,150
2023-05-20,127,轻度污染,35,71,13,0.7,35,189
2023-05-21,105,轻度污染,23,53,10,0.6,23,165
2023-05-22,75,良,16,31,6,0.6,16,130
2023-05-23,85,良,21,41,7,0.6,23,142
2023-05-24,130,轻度污染,39,70,12,0.9,35,193
2023-05-25,57,良,40,57,10,0.9,31,103
2023-05-26,75,良,26,35,6,0.9,25,129
2023-05-27,109,轻度污染,26,49,9,1.0,34,169
2023-05-28,99,良,41,66,14,1.2,44,158
2023-05-29,51,良,33,51,10,0.7,34,99
2023-05-30,46,优,18,25,5,0.6,18,91
2023-05-31,80,良,25,49,9,0.9,33,135
2023-06-01,116,轻度污染,34,62,7,0.8,31,177
2023-06-02,65,良,23,43,9,0.9,34,117
2023-06-03,48,优,14,27,7,0.8,24,95
2023-06-04,47,优,12,28,8,0.8,22,94
2023-06-05,36,优,10,17,5,0.7,25,71
2023-06-06,85,良,15,26,6,0.7,19,142
2023-06-07,80,良,16,37,7,0.5,17,135
2023-06-08,57,良,28,44,7,0.5,14,108
2023-06-09,60,良,18,31,6,0.6,15,112
2023-06-10,45,优,22,36,7,0.9,36,82
2023-06-11,68,良,33,48,6,1.0,36,121
2023-06-12,39,优,9,28,6,0.8,27,77
2023-06-13,53,良,11,23,6,0.8,35,103
2023-06-14,39,优,12,23,6,0.7,27,78
2023-06-15,44,优,7,19,6,0.7,35,46
2023-06-16,50,优,20,29,5,0.8,22,99
2023-06-17,46,优,17,43,7,0.8,26,91
2023-06-18,34,优,16,25,5,0.7,23,67
2023-06-19,60,良,13,25,6,0.8,28,111
2023-06-20,48,优,13,22,6,0.7,19,95
2023-06-21,41,优,5,10,5,0.6,20,82
2023-06-22,34,优,8,10,5,0.6,20,67
2023-06-23,35,优,9,16,5,0.9,28,40
2023-06-24,48,优,18,34,8,0.9,34,96
2023-06-25,71,良,26,41,8,1.0,28,125
2023-06-26,45,优,13,28,6,0.6,18,89
2023-06-27,35,优,12,21,5,0.7,28,63
2023-06-28,47,优,11,18,5,0.7,14,93
2023-06-29,41,优,8,18,6,0.7,19,81
2023-06-30,83,良,16,28,6,0.7,26,139
2023-07-01,126,轻度污染,33,55,6,0.7,18,188
2023-07-02,47,优,18,35,6,0.6,18,94
2023-07-03,46,优,10,21,5,0.6,19,91
2023-07-04,60,良,20,34,6,0.7,18,112
2023-07-05,35,优,11,21,6,0.7,28,45
2023-07-06,35,优,8,13,5,0.7,28,46
2023-07-07,55,良,14,25,9,1.1,36,105
2023-07-08,80,良,29,43,8,1.3,26,136
2023-07-09,50,优,22,39,5,0.8,17,99
2023-07-10,70,良,19,31,5,0.6,12,124
2023-07-11,30,优,13,23,5,0.7,17,59
2023-07-12,42,优,15,41,9,0.8,33,64
2023-07-13,29,优,11,15,5,0.6,23,58
2023-07-14,46,优,14,25,6,0.7,21,91
2023-07-15,46,优,7,13,5,0.7,21,91
2023-07-16,39,优,7,12,5,0.6,21,78
2023-07-17,32,优,15,24,6,0.6,22,63
2023-07-18,49,优,18,32,6,0.8,39,20
2023-07-19,37,优,13,19,6,1.0,29,67
2023-07-20,49,优,21,30,7,0.7,25,98
2023-07-21,48,优,20,32,6,0.7,26,96
2023-07-22,55,良,14,37,6,0.6,21,105
2023-07-23,38,优,10,27,7,0.6,22,76
2023-07-24,44,优,12,19,5,0.7,35,75
2023-07-25,58,良,13,31,7,0.7,39,109
2023-07-26,70,良,26,44,7,0.7,26,124
2023-07-27,53,良,22,39,7,1.1,42,44
2023-07-28,33,优,11,23,6,0.7,26,64
2023-07-29,56,良,28,48,6,0.9,24,107
2023-07-30,81,良,24,45,7,0.9,25,137
2023-07-31,50,优,9,33,7,0.5,24,99
2023-08-01,99,良,15,33,8,0.6,23,158
2023-08-02,65,良,25,47,7,0.9,40,117
2023-08-03,55,良,18,38,6,0.7,23,106
2023-08-04,48,优,9,30,6,0.6,20,95
2023-08-05,60,良,23,51,7,1.0,41,111
2023-08-06,36,优,8,27,6,0.7,20,72
2023-08-07,36,优,10,27,6,0.6,19,71
2023-08-08,37,优,16,36,7,0.6,24,73
2023-08-09,35,优,18,33,7,0.8,28,66
2023-08-10,30,优,11,20,7,0.8,24,53
2023-08-11,44,优,15,27,6,0.7,20,88
2023-08-12,27,优,8,23,6,0.6,16,53
2023-08-13,40,优,11,26,7,0.7,24,80
2023-08-14,46,优,10,28,7,0.6,21,91
2023-08-15,75,良,15,34,7,0.6,28,129
2023-08-16,96,良,19,43,8,0.8,29,155
2023-08-17,91,良,21,45,8,0.7,23,149
2023-08-18,77,良,30,55,8,0.5,18,132
2023-08-19,77,良,26,49,8,0.6,25,132
2023-08-20,130,轻度污染,21,41,8,0.8,30,193
2023-08-21,88,良,27,45,8,0.9,28,145
2023-08-22,87,良,31,53,7,0.8,22,144
2023-08-23,112,轻度污染,35,59,8,0.6,17,173
2023-08-24,91,良,33,58,10,0.8,28,149
2023-08-25,64,良,24,43,9,0.6,26,116
2023-08-26,72,良,26,41,8,0.7,20,126
2023-08-27,75,良,15,29,8,0.6,21,129
2023-08-28,54,良,26,53,12,0.9,39,104
2023-08-29,82,良,28,53,11,1.0,35,138
2023-08-30,100,良,24,40,9,0.8,32,160
2023-08-31,55,良,23,43,10,0.9,44,87
2023-09-01,49,优,20,37,10,0.9,39,78
2023-09-02,50,优,21,35,8,0.7,26,99
2023-09-03,89,良,24,49,11,0.7,45,146
2023-09-04,85,良,24,56,8,0.7,42,141
2023-09-05,104,轻度污染,31,62,14,0.8,42,164
2023-09-06,116,轻度污染,26,54,10,0.6,38,177
2023-09-07,114,轻度污染,34,65,11,0.8,58,175
2023-09-08,101,轻度污染,38,81,12,0.9,58,161
2023-09-09,86,良,46,82,13,0.9,65,143
2023-09-10,69,良,50,73,10,1.0,52,84
2023-09-11,75,良,24,43,8,0.9,31,130
2023-09-12,72,良,26,46,12,0.9,41,126
2023-09-13,67,良,29,48,9,0.8,30,120
2023-09-14,89,良,33,53,9,0.8,29,146
2023-09-15,38,优,16,24,7,0.8,30,64
2023-09-16,52,良,19,27,8,0.8,36,102
2023-09-17,49,优,15,22,7,0.7,28,98
2023-09-18,43,优,14,20,7,0.5,20,86
2023-09-19,70,良,21,36,9,0.7,27,124
2023-09-20,90,良,26,44,9,0.7,28,148
2023-09-21,50,优,19,37,9,0.6,29,100
2023-09-22,55,良,31,36,8,0.7,29,105
2023-09-23,46,优,17,33,7,0.7,33,92
2023-09-24,60,良,27,51,10,0.7,48,106
2023-09-25,62,良,21,47,9,0.7,43,114
2023-09-26,74,良,29,53,9,0.7,37,128
2023-09-27,60,良,18,41,9,0.6,25,112
